,Datetime,Open,High,Low,Close,Adj Close,Volume,ticker
0,2024-03-26 14:00:00+00:00,3.0402428819797933e-05,3.070777893299237e-05,2.9659768188139424e-05,3.026938247785438e-05,3.026938247785438e-05,0,SHIB-USD
1,2024-03-26 15:00:00+00:00,3.0265497116488405e-05,3.028878018085379e-05,2.974743620143272e-05,3.0129678634693846e-05,3.0129678634693846e-05,0,SHIB-USD
2,2024-03-26 16:00:00+00:00,3.0153229090501554e-05,3.0334718758240342e-05,2.9589418772957288e-05,2.9688020731555298e-05,2.9688020731555298e-05,0,SHIB-USD
3,2024-03-26 17:00:00+00:00,2.967706495837774e-05,3.014806134160608e-05,2.966480315080844e-05,3.0089084248174913e-05,3.0089084248174913e-05,0,SHIB-USD
4,2024-03-26 18:00:00+00:00,3.008371641044505e-05,3.0428249374381267e-05,3.008209023391828e-05,3.0288914786069654e-05,3.0288914786069654e-05,0,SHIB-USD
5,2024-03-26 19:00:00+00:00,3.0277655241661705e-05,3.0277655241661705e-05,3.0002614948898554e-05,3.008251587743871e-05,3.008251587743871e-05,3687296,SHIB-USD
6,2024-03-26 20:00:00+00:00,3.0059331038501114e-05,3.035710506082978e-05,3.0001379855093546e-05,3.0344574042828754e-05,3.0344574042828754e-05,0,SHIB-USD
7,2024-03-26 21:00:00+00:00,3.038704744540155e-05,3.076670691370964e-05,3.0370312742888927e-05,3.05316352751106e-05,3.05316352751106e-05,0,SHIB-USD
8,2024-03-26 22:00:00+00:00,3.053054024348967e-05,3.084640047745779e-05,3.0324074032250792e-05,3.084640047745779e-05,3.084640047745779e-05,11406592,SHIB-USD
9,2024-03-26 23:00:00+00:00,3.084847776335664e-05,3.093044870183803e-05,3.063496478716843e-05,3.067879515583627e-05,3.067879515583627e-05,0,SHIB-USD
10,2024-03-27 00:00:00+00:00,3.066836507059634e-05,3.1647199648432434e-05,3.058879156014882e-05,3.109340468654409e-05,3.109340468654409e-05,157370752,SHIB-USD
11,2024-03-27 01:00:00+00:00,3.1107672839425504e-05,3.152634235448204e-05,3.100528192589991e-05,3.101504989899695e-05,3.101504989899695e-05,39300864,SHIB-USD
12,2024-03-27 02:00:00+00:00,3.101238689851016e-05,3.14673779939767e-05,3.101238689851016e-05,3.14517856168095e-05,3.14517856168095e-05,17633792,SHIB-USD
13,2024-03-27 03:00:00+00:00,3.144630682072602e-05,3.149297117488459e-05,3.110309990006499e-05,3.122358248219825e-05,3.122358248219825e-05,26769408,SHIB-USD
14,2024-03-27 04:00:00+00:00,3.1261744879884645e-05,3.13813507091254e-05,3.092774568358436e-05,3.096536238444969e-05,3.096536238444969e-05,22893184,SHIB-USD
15,2024-03-27 05:00:00+00:00,3.097972512478009e-05,3.124654176644981e-05,3.097972512478009e-05,3.120004839729518e-05,3.120004839729518e-05,18786048,SHIB-USD
16,2024-03-27 06:00:00+00:00,3.1216924980981275e-05,3.1395993573823944e-05,3.1162548111751676e-05,3.13151758746244e-05,3.13151758746244e-05,9258496,SHIB-USD
17,2024-03-27 07:00:00+00:00,3.130947152385488e-05,3.1361618312075734e-05,3.020731674041599e-05,3.0246479582274333e-05,3.0246479582274333e-05,18376960,SHIB-USD
18,2024-03-27 08:00:00+00:00,3.0247530958149582e-05,3.0423469070228748e-05,2.975699862872716e-05,2.975699862872716e-05,2.975699862872716e-05,16758528,SHIB-USD
19,2024-03-27 09:00:00+00:00,2.977916483359877e-05,3.0338203941937536e-05,2.9574051950476132e-05,3.0338203941937536e-05,3.0338203941937536e-05,77615872,SHIB-USD
20,2024-03-27 10:00:00+00:00,3.0358265576069243e-05,3.087045479333028e-05,3.0145540222292766e-05,3.0501994842779823e-05,3.0501994842779823e-05,13210112,SHIB-USD
21,2024-03-27 11:00:00+00:00,3.0493152735289186e-05,3.068543810513802e-05,3.0399362003663555e-05,3.067779107368551e-05,3.067779107368551e-05,0,SHIB-USD
22,2024-03-27 12:00:00+00:00,3.068303340114653e-05,3.07649424939882e-05,3.0356277420651168e-05,3.0435983717325144e-05,3.0435983717325144e-05,0,SHIB-USD
23,2024-03-27 13:00:00+00:00,3.0437369787250645e-05,3.1092899007489905e-05,3.01750551443547e-05,3.01750551443547e-05,3.01750551443547e-05,0,SHIB-USD
24,2024-03-27 14:00:00+00:00,3.015378570125904e-05,3.0372542823897675e-05,2.9351022021728568e-05,3.0341137971845455e-05,3.0341137971845455e-05,16859136,SHIB-USD
25,2024-03-27 15:00:00+00:00,3.0351680834428407e-05,3.0351680834428407e-05,2.9839833587175235e-05,3.00225419778144e-05,3.00225419778144e-05,0,SHIB-USD
26,2024-03-27 16:00:00+00:00,2.999528260261286e-05,3.020951226062607e-05,2.985804167110473e-05,3.0124831027933396e-05,3.0124831027933396e-05,0,SHIB-USD
27,2024-03-27 17:00:00+00:00,3.013585774169769e-05,3.0288449124782346e-05,3.004712561960332e-05,3.0108152714092284e-05,3.0108152714092284e-05,0,SHIB-USD
28,2024-03-27 18:00:00+00:00,3.0100211006356403e-05,3.011314765899442e-05,2.971406138385646e-05,2.971406138385646e-05,2.971406138385646e-05,0,SHIB-USD
29,2024-03-27 19:00:00+00:00,2.970755667774938e-05,3.003395613632165e-05,2.970755667774938e-05,2.9952645490993746e-05,2.9952645490993746e-05,0,SHIB-USD
30,2024-03-27 20:00:00+00:00,2.9948761948617175e-05,3.023813223990146e-05,2.994253190991003e-05,3.0120294468360953e-05,3.0120294468360953e-05,0,SHIB-USD
31,2024-03-27 21:00:00+00:00,3.012644810951315e-05,3.020406984433066e-05,2.9983872082084417e-05,2.9983872082084417e-05,2.9983872082084417e-05,0,SHIB-USD
32,2024-03-27 22:00:00+00:00,2.998101626872085e-05,3.041353375010658e-05,2.998101626872085e-05,3.0402916308958083e-05,3.0402916308958083e-05,0,SHIB-USD
33,2024-03-27 23:00:00+00:00,3.0400731702684425e-05,3.0400731702684425e-05,2.9982018531882204e-05,3.0181250622263178e-05,3.0181250622263178e-05,0,SHIB-USD
34,2024-03-28 00:00:00+00:00,3.016837581526488e-05,3.093278064625338e-05,3.0079283533268608e-05,3.090184327447787e-05,3.090184327447787e-05,0,SHIB-USD
35,2024-03-28 01:00:00+00:00,3.092391125392169e-05,3.0937688279664144e-05,3.034146357094869e-05,3.047044447157532e-05,3.047044447157532e-05,27508224,SHIB-USD
36,2024-03-28 02:00:00+00:00,3.0459952540695667e-05,3.074494452448562e-05,3.0014092772034928e-05,3.0243032597354613e-05,3.0243032597354613e-05,26820608,SHIB-USD
37,2024-03-28 03:00:00+00:00,3.0255299861892127e-05,3.0275617973529734e-05,2.9828221158823e-05,3.01303225569427e-05,3.01303225569427e-05,0,SHIB-USD
38,2024-03-28 04:00:00+00:00,3.0130873710731976e-05,3.052552347071469e-05,3.0130873710731976e-05,3.035689951502718e-05,3.035689951502718e-05,0,SHIB-USD
39,2024-03-28 05:00:00+00:00,3.0366920327651314e-05,3.0476026950054802e-05,3.0309356588986702e-05,3.0352588510140777e-05,3.0352588510140777e-05,0,SHIB-USD
40,2024-03-28 06:00:00+00:00,3.0353958209161647e-05,3.0751729354960844e-05,3.032668428204488e-05,3.0751729354960844e-05,3.0751729354960844e-05,0,SHIB-USD
41,2024-03-28 07:00:00+00:00,3.0763687391299754e-05,3.085106436628848e-05,3.069209196837619e-05,3.0827482987660915e-05,3.0827482987660915e-05,0,SHIB-USD
42,2024-03-28 08:00:00+00:00,3.08245507767424e-05,3.143453432130627e-05,3.0821789550827816e-05,3.132774872938171e-05,3.132774872938171e-05,11380224,SHIB-USD
43,2024-03-28 09:00:00+00:00,3.12838310492225e-05,3.1392664823215455e-05,3.110269972239621e-05,3.110269972239621e-05,3.110269972239621e-05,0,SHIB-USD
44,2024-03-28 10:00:00+00:00,3.109982571913861e-05,3.24647335219197e-05,3.10882278427016e-05,3.2356296287616715e-05,3.2356296287616715e-05,141896960,SHIB-USD
45,2024-03-28 11:00:00+00:00,3.232524250051938e-05,3.237337659811601e-05,3.17025333060883e-05,3.235093390685506e-05,3.235093390685506e-05,139761408,SHIB-USD
46,2024-03-28 12:00:00+00:00,3.234684481867589e-05,3.2720145100029185e-05,3.196791294612922e-05,3.2031101000029594e-05,3.2031101000029594e-05,129565184,SHIB-USD
47,2024-03-28 13:00:00+00:00,3.2065010600490496e-05,3.216169716324657e-05,3.16159421345219e-05,3.201558138243854e-05,3.201558138243854e-05,0,SHIB-USD
48,2024-03-28 14:00:00+00:00,3.200849096174352e-05,3.239446596126072e-05,3.194470264133997e-05,3.2111896871356294e-05,3.2111896871356294e-05,0,SHIB-USD
49,2024-03-28 15:00:00+00:00,3.211095463484526e-05,3.2141429983312264e-05,3.179378472850658e-05,3.1880903407000005e-05,3.1880903407000005e-05,0,SHIB-USD
50,2024-03-28 16:00:00+00:00,3.189409471815452e-05,3.200954233761877e-05,3.1653402402298525e-05,3.1653402402298525e-05,3.1653402402298525e-05,4211200,SHIB-USD
51,2024-03-28 17:00:00+00:00,3.1678158848080784e-05,3.175215533701703e-05,3.1443250918528065e-05,3.158082108711824e-05,3.158082108711824e-05,25220864,SHIB-USD
52,2024-03-28 18:00:00+00:00,3.158193430863321e-05,3.1814983231015503e-05,3.153019861201756e-05,3.160996493534185e-05,3.160996493534185e-05,0,SHIB-USD
