,Datetime,Open,High,Low,Close,Adj Close,Volume,ticker
0,2024-03-26 14:00:00+00:00,6.753679917892441e-05,6.760901305824518e-05,6.620059139095247e-05,6.719845987390727e-05,6.719845987390727e-05,0,XEC-USD
1,2024-03-26 15:00:00+00:00,6.690524605801329e-05,6.690524605801329e-05,6.62913589621894e-05,6.681436934741214e-05,6.681436934741214e-05,0,XEC-USD
2,2024-03-26 16:00:00+00:00,6.720417877659202e-05,6.720417877659202e-05,6.594956357730553e-05,6.594956357730553e-05,6.594956357730553e-05,0,XEC-USD
3,2024-03-26 17:00:00+00:00,6.617486360482872e-05,6.642741936957464e-05,6.588934775209054e-05,6.639848288614303e-05,6.639848288614303e-05,0,XEC-USD
4,2024-03-26 18:00:00+00:00,6.638374179601669e-05,6.67996791889891e-05,6.638374179601669e-05,6.662563828285784e-05,6.662563828285784e-05,0,XEC-USD
5,2024-03-26 19:00:00+00:00,6.654125900240615e-05,6.654125900240615e-05,6.63106475258246e-05,6.63496830384247e-05,6.63496830384247e-05,0,XEC-USD
6,2024-03-26 20:00:00+00:00,6.646450492553413e-05,6.67260101181455e-05,6.609936826862395e-05,6.628421397181228e-05,6.628421397181228e-05,0,XEC-USD
7,2024-03-26 21:00:00+00:00,6.645927351200953e-05,6.709082663292065e-05,6.638450577156618e-05,6.680177466478199e-05,6.680177466478199e-05,0,XEC-USD
8,2024-03-26 22:00:00+00:00,6.682503590127453e-05,6.682503590127453e-05,6.637290789512917e-05,6.673379539279267e-05,6.673379539279267e-05,0,XEC-USD
9,2024-03-26 23:00:00+00:00,6.6722474002745e-05,6.688973371637985e-05,6.668786954833195e-05,6.669198774034157e-05,6.669198774034157e-05,0,XEC-USD
10,2024-03-27 00:00:00+00:00,6.6821274231188e-05,6.6821274231188e-05,6.613488949369639e-05,6.679940270259976e-05,6.679940270259976e-05,0,XEC-USD
11,2024-03-27 01:00:00+00:00,6.683393439743668e-05,6.686920823995024e-05,6.637998012593016e-05,6.640784704359248e-05,6.640784704359248e-05,0,XEC-USD
12,2024-03-27 02:00:00+00:00,6.634162127738819e-05,6.646221299888566e-05,6.620868953177705e-05,6.644542736466974e-05,6.644542736466974e-05,0,XEC-USD
13,2024-03-27 03:00:00+00:00,6.643469532718882e-05,6.651947478530928e-05,6.615118036279455e-05,6.616251630475745e-05,6.616251630475745e-05,0,XEC-USD
14,2024-03-27 04:00:00+00:00,6.620225758524612e-05,6.620627391384915e-05,6.595025479327887e-05,6.595025479327887e-05,6.595025479327887e-05,0,XEC-USD
15,2024-03-27 05:00:00+00:00,6.607075192732736e-05,6.613913137698546e-05,6.563156057382002e-05,6.585720257135108e-05,6.585720257135108e-05,998144,XEC-USD
16,2024-03-27 06:00:00+00:00,6.6132633946836e-05,6.616584869334474e-05,6.573637074325234e-05,6.592180579900742e-05,6.592180579900742e-05,0,XEC-USD
17,2024-03-27 07:00:00+00:00,6.591018609469756e-05,6.591018609469756e-05,6.455674156313762e-05,6.455674156313762e-05,6.455674156313762e-05,0,XEC-USD
18,2024-03-27 08:00:00+00:00,6.496227433672175e-05,6.517110159620643e-05,6.408820627257228e-05,6.408820627257228e-05,6.408820627257228e-05,0,XEC-USD
19,2024-03-27 09:00:00+00:00,6.362316344166175e-05,6.515799759654328e-05,6.338727689580992e-05,6.515799759654328e-05,6.515799759654328e-05,3848408,XEC-USD
20,2024-03-27 10:00:00+00:00,6.469344953075051e-05,6.52357775834389e-05,6.442039011744782e-05,6.468997889896855e-05,6.468997889896855e-05,1184408,XEC-USD
21,2024-03-27 11:00:00+00:00,6.457968993345276e-05,6.512577238027006e-05,6.457968993345276e-05,6.502398900920525e-05,6.502398900920525e-05,0,XEC-USD
22,2024-03-27 12:00:00+00:00,6.511074025183916e-05,6.511074025183916e-05,6.475468399003148e-05,6.481565651483834e-05,6.481565651483834e-05,0,XEC-USD
23,2024-03-27 13:00:00+00:00,6.527244840981439e-05,6.616728205699474e-05,6.440341530833393e-05,6.440341530833393e-05,6.440341530833393e-05,0,XEC-USD
24,2024-03-27 14:00:00+00:00,6.377479439834133e-05,6.731373287038878e-05,6.328093877527863e-05,6.731373287038878e-05,6.731373287038878e-05,4781296,XEC-USD
25,2024-03-27 15:00:00+00:00,6.65038896840997e-05,6.685865082545206e-05,6.504249176941812e-05,6.504249176941812e-05,6.504249176941812e-05,5427632,XEC-USD
26,2024-03-27 16:00:00+00:00,6.51657028356567e-05,6.525898788822815e-05,6.431392102967948e-05,6.495914567494765e-05,6.495914567494765e-05,0,XEC-USD
27,2024-03-27 17:00:00+00:00,6.494998524431139e-05,6.548870442202315e-05,6.477518763858825e-05,6.517952715512365e-05,6.517952715512365e-05,0,XEC-USD
28,2024-03-27 18:00:00+00:00,6.524590571643785e-05,6.54622635920532e-05,6.473518442362547e-05,6.473518442362547e-05,6.473518442362547e-05,747200,XEC-USD
29,2024-03-27 19:00:00+00:00,6.489897350547835e-05,6.548936653416604e-05,6.489897350547835e-05,6.514198321383446e-05,6.514198321383446e-05,0,XEC-USD
30,2024-03-27 20:00:00+00:00,6.530827522510663e-05,6.566364027094096e-05,6.530827522510663e-05,6.537060835398734e-05,6.537060835398734e-05,0,XEC-USD
31,2024-03-27 21:00:00+00:00,6.548219971591607e-05,6.662022497039288e-05,6.548219971591607e-05,6.623441004194319e-05,6.623441004194319e-05,1294304,XEC-USD
